topic,hour,count
0,0,40
0,1,30
0,2,47
0,3,14
0,4,41
0,5,61
0,6,279
0,7,297
0,8,911
0,9,2166
0,10,4131
0,11,3867
0,12,3470
0,13,3071
0,14,2581
0,15,3599
0,16,2203
0,17,1657
0,18,934
0,19,195
0,24,793
1,0,352
1,1,152
1,2,191
1,3,241
1,4,258
1,5,496
1,6,1510
1,7,4563
1,8,5963
1,9,8345
1,10,9161
1,11,7879
1,12,5575
1,13,4423
1,14,4358
1,15,4103
1,16,5032
1,17,6684
1,18,6056
1,19,3847
1,20,1161
1,21,313
1,22,65
1,23,29
1,24,4372
2,4,1
2,5,1
2,6,9
2,7,18
2,8,60
2,9,18
2,10,34
2,11,70
2,12,51
2,24,23
3,0,24
3,1,24
3,2,15
3,3,21
3,4,9
3,5,6
3,6,96
3,7,102
3,8,336
3,9,1256
3,10,731
3,11,120
3,12,150
3,13,254
3,14,253
3,15,281
3,16,226
3,17,107
3,18,7
3,19,12
3,20,18
3,21,4
3,24,190
4,1,9
4,2,15
4,3,13
4,4,6
4,7,12
4,8,9
4,9,15
4,10,24
4,11,27
4,12,15
4,13,15
4,14,3
4,15,3
4,16,4
4,19,6
4,20,5
4,23,16
4,24,9
5,0,3
5,3,6
5,8,8
5,9,9
5,10,33
5,11,26
5,12,74
5,13,12
5,15,24
5,16,33
5,17,9
5,18,1
5,20,1
5,23,6
5,24,12
6,0,9
6,1,7
6,2,11
6,5,4
6,6,61
6,7,17
6,8,19
6,9,25
6,10,92
6,11,177
6,12,356
6,13,860
6,14,1215
6,15,463
6,16,250
6,17,144
6,18,15
6,19,11
6,20,49
6,24,55
7,8,12
7,9,12
7,10,19
7,11,72
7,12,4
7,13,12
7,14,7
7,15,7
7,16,8
7,17,4
8,0,72
8,6,12
8,7,123
8,8,66
8,9,21
8,10,19
8,11,41
8,12,16
8,13,31
8,14,51
8,15,36
8,16,86
8,17,163
8,18,270
8,19,859
8,20,1594
8,21,1286
8,22,915
8,23,424
8,24,87
9,0,6
9,1,9
9,2,6
9,3,9
9,5,7
9,6,11
9,7,10
9,8,156
9,9,406
9,10,596
9,11,233
9,12,175
9,13,202
9,14,100
9,15,241
9,16,46
9,17,83
9,18,15
9,19,10
9,20,3
9,24,95
10,0,1638
10,1,1003
10,2,39
10,5,3
10,6,3
10,7,9
10,8,19
10,9,20
10,10,16
10,11,30
10,12,13
10,13,45
10,14,65
10,15,55
10,16,158
10,17,263
10,18,416
10,19,1032
10,20,1655
10,21,1440
10,22,871
10,23,436
10,24,1797
